name,office,office_full,party,party_full,state,district,district_number,election_districts,election_years,cycles,candidate_status,incumbent_challenge,incumbent_challenge_full,load_date,first_file_date,last_file_date,last_f2_date,candidate_id,active_through,candidate_inactive,inactive_election_years
"HARRIS, KAMALA D",S,Senate,DEM,DEMOCRATIC PARTY,CA,00,0,"{00,00}","{2016,2022}","{2016,2018,2020}",C,I,Incumbent,2019-01-11 21:04:54,2015-01-22,2016-11-14,2016-11-14,S6CA00584,2022,f,
"TUCKER, GARLAND S III",S,Senate,REP,REPUBLICAN PARTY,NC,00,0,{00},{2020},{2020},C,C,Challenger,2019-07-22 21:11:27,2019-05-06,2019-05-06,2019-05-06,S0NC00319,2020,f,
"CARDIN, BENJAMIN L",S,Senate,DEM,DEMOCRATIC PARTY,MD,00,0,"{00,00,00,00,00}","{2000,2006,2012,2018,2024}","{2000,2006,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2019-02-25 21:15:37,2005-05-06,2019-01-30,2019-01-30,S6MD03177,2024,f,
"GRAHAM, KIMBERLY",S,Senate,DEM,DEMOCRATIC PARTY,IA,00,0,{00},{2020},{2020},C,C,Challenger,2019-07-22 21:11:27,2019-05-31,2019-05-31,2019-05-31,S0IA00168,2020,f,
"MACKLER, JAMES",S,Senate,DEM,DEMOCRATIC PARTY,TN,00,0,"{00,00}","{2018,2020}","{2018,2020}",C,O,Open seat,2019-06-10 21:08:12,2017-04-14,2019-04-15,2019-04-15,S8TN00311,2020,f,
"SHELBY, RICHARD C",S,Senate,REP,REPUBLICAN PARTY,AL,00,0,"{00,00,00,00,00,00,00}","{1986,1992,1998,2004,2010,2016,2022}","{1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",F,I,Incumbent,2019-01-11 21:04:54,1985-01-04,2016-05-02,2016-05-02,S6AL00013,2022,f,
"KENNEDY, JOHN NEELY",S,Senate,REP,REPUBLICAN PARTY,LA,00,0,"{00,00,00,00}","{2004,2008,2016,2022}","{2004,2006,2008,2010,2012,2016,2018,2020}",C,I,Incumbent,2019-01-11 21:04:54,2004-02-03,2017-05-09,2017-05-09,S4LA00065,2022,f,
"LANKFORD, JAMES PAUL",S,Senate,REP,REPUBLICAN PARTY,OK,00,0,"{00,00,00}","{2014,2016,2022}","{2014,2016,2018,2020}",F,I,Incumbent,2019-01-11 21:04:54,2014-02-10,2017-06-05,2017-06-05,S4OK00232,2022,f,
"PETERS, GARY",S,Senate,DEM,DEMOCRATIC PARTY,MI,00,0,"{00,00}","{2014,2020}","{2014,2016,2018,2020}",C,I,Incumbent,2019-06-19 21:08:43,2013-05-01,2019-06-19,2019-06-19,S4MI00355,2020,f,
"SMITH, SANDY",S,Senate,REP,REPUBLICAN PARTY,NC,00,0,{00},{2020},{2020},C,C,Challenger,2019-05-14 00:59:02,2019-03-08,2019-03-08,2019-03-08,S0NC00293,2020,f,
"MOONEY, ARNOLD",S,Senate,REP,REPUBLICAN PARTY,AL,00,0,{00},{2020},{2020},C,C,Challenger,2019-07-22 21:11:27,2019-05-06,2019-05-06,2019-05-06,S0AL00263,2020,f,
"ALEXANDER, LAMAR",S,Senate,REP,REPUBLICAN PARTY,TN,00,0,"{00,00,00,00}","{2002,2008,2014,2020}","{2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2019-01-11 21:04:54,2002-04-03,2014-12-16,2014-12-16,S2TN00058,2020,t,{2020}
"SINGH, HIRSH V",S,Senate,REP,REPUBLICAN PARTY,NJ,00,0,{00},{2020},{2020},C,C,Challenger,2019-08-02 21:23:47,2019-04-25,2019-04-25,2019-04-25,S0NJ00191,2020,f,
"KAINE, TIMOTHY MICHAEL",S,Senate,DEM,DEMOCRATIC PARTY,VA,00,0,"{00,00,00}","{2012,2018,2024}","{2012,2014,2016,2018,2020}",F,,,2019-02-25 21:15:37,2011-04-05,2018-12-03,2018-12-03,S2VA00142,2024,f,
"HARRISON, JAIME",S,Senate,DEM,DEMOCRATIC PARTY,SC,00,0,{00},{2020},{2020},C,C,Challenger,2019-09-08 21:06:25,2019-02-07,2019-09-08,2019-09-08,S0SC00289,2020,f,
"LEVASSEUR, DEREK ALLEN",S,Senate,REP,REPUBLICAN PARTY,ME,00,0,{00},{2020},{2020},C,C,Challenger,2019-07-22 21:11:27,2019-05-06,2019-05-06,2019-05-06,S0ME00095,2020,f,
"MARSHALL, ROBERT",S,Senate,REP,REPUBLICAN PARTY,IL,00,0,"{00,00,00,00,00}","{1996,1998,2010,2016,2020}","{1996,1998,2000,2002,2010,2012,2016,2018,2020}",C,C,Challenger,2019-08-02 21:23:47,1995-08-07,2019-05-28,2019-05-28,S6IL00185,2020,f,
"BLUMENTHAL, RICHARD",S,Senate,DEM,DEMOCRATIC PARTY,CT,00,0,"{00,00,00}","{2010,2016,2022}","{2010,2012,2014,2016,2018,2020}",F,I,Incumbent,2019-04-15 21:15:14,2010-01-11,2019-04-15,2019-04-15,S0CT00177,2022,f,
"WARNER, MARK ROBERT",S,Senate,DEM,DEMOCRATIC PARTY,VA,00,0,"{00,00,00,00}","{1996,2008,2014,2020}","{1996,1998,2000,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2019-03-27 21:06:35,1995-09-26,2014-12-18,2014-12-18,S6VA00093,2020,f,
"DURBIN, RICHARD J",S,Senate,DEM,DEMOCRATIC PARTY,IL,00,0,"{00,00,00,00,00}","{1996,2002,2008,2014,2020}","{1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2019-08-15 21:14:13,1995-06-19,2019-08-15,2019-08-15,S6IL00151,2020,f,
"TINUBU, GLORIA BROMELL DR.",S,Senate,DEM,DEMOCRATIC PARTY,SC,00,0,{00},{2020},{2020},C,C,Challenger,2019-07-25 21:14:37,2019-04-16,2019-04-16,2019-04-16,S0SC00305,2020,f,
"GRASSLEY, CHARLES E ",S,Senate,REP,REPUBLICAN PARTY,IA,00,0,"{00,00,00,00,00,00,00,00}","{1980,1986,1992,1998,2004,2010,2016,2022}","{1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2019-01-11 21:04:54,1979-10-22,2017-05-15,2017-05-15,S0IA00028,2022,f,
"SCOTT, RICK SEN",S,Senate,REP,REPUBLICAN PARTY,FL,00,0,"{00,00}","{2018,2024}","{2018,2020}",C,,,2019-02-25 21:15:37,2018-04-09,2019-02-11,2019-02-11,S8FL00273,2024,f,
"MERRILL, JOHN H",S,Senate,REP,REPUBLICAN PARTY,AL,00,0,{00},{2020},{2020},C,C,Challenger,2019-07-22 21:11:27,2019-06-18,2019-06-18,2019-06-18,S0AL00289,2020,f,
"BRITTAIN, CRAIG R",S,Senate,REP,REPUBLICAN PARTY,AZ,00,0,"{00,00}","{2018,2020}","{2018,2020}",N,C,Challenger,2019-03-01 21:11:59,2017-09-29,2019-02-24,2019-02-24,S8AZ00189,2020,f,
"TILLIS, THOM R. SEN.",S,Senate,REP,REPUBLICAN PARTY,NC,00,0,"{00,00}","{2014,2020}","{2014,2016,2018,2020}",C,I,Incumbent,2019-07-15 21:09:43,2013-06-06,2019-07-15,2019-07-15,S4NC00162,2020,f,
"KELLY, MARK",S,Senate,DEM,DEMOCRATIC PARTY,AZ,00,0,{00},{2020},{2020},C,C,Challenger,2019-08-31 21:07:24,2019-02-12,2019-08-30,2019-08-30,S0AZ00350,2020,f,
"FRANKEN, AL",S,Senate,DEM,DEMOCRATIC PARTY,MN,00,0,"{00,00,00}","{2008,2014,2020}","{2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2019-03-27 21:06:35,2007-02-14,2018-02-23,2017-05-12,S8MN00438,2020,t,{2020}
"AYYADURAI, SHIVA DR",S,Senate,REP,REPUBLICAN PARTY,MA,00,0,"{00,00}","{2018,2020}","{2018,2020}",C,C,Challenger,2019-05-17 21:07:06,2017-03-17,2019-05-17,2019-05-17,S8MA00268,2020,f,
"YOUNG, TODD CHRISTOPHER",S,Senate,REP,REPUBLICAN PARTY,IN,00,0,"{00,00}","{2016,2022}","{2016,2018,2020}",F,C,Challenger,2019-03-18 21:06:23,2015-07-15,2019-03-18,2019-03-18,S6IN00191,2022,f,
"MURKOWSKI, LISA",S,Senate,REP,REPUBLICAN PARTY,AK,00,0,"{00,00,00,00}","{2004,2010,2016,2022}","{2004,2006,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2019-01-11 21:04:54,2003-01-22,2017-05-25,2017-05-25,S4AK00099,2022,f,
"SLOAN, MARK STEPHEN MR",S,Senate,REP,REPUBLICAN PARTY,SC,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-03-16,2018-04-23,2018-04-23,S0SC00230,2020,f,
"MERKLEY, JEFFREY ALAN",S,Senate,DEM,DEMOCRATIC PARTY,OR,00,0,"{00,00,00}","{2008,2014,2020}","{2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2019-09-10 21:07:38,2007-08-01,2019-09-10,2019-09-10,S8OR00207,2020,f,
"SCOTT, TIMOTHY E",S,Senate,REP,REPUBLICAN PARTY,SC,00,0,"{00,00,00}","{2014,2016,2022}","{2012,2014,2016,2018,2020}",C,I,Incumbent,2019-01-11 21:04:54,2012-12-19,2016-12-06,2016-12-06,S4SC00240,2022,f,
"SULLIVAN, DAN",S,Senate,REP,REPUBLICAN PARTY,AK,00,0,"{00,00}","{2014,2020}","{2014,2016,2018,2020}",C,I,Incumbent,2019-06-26 21:24:11,2013-10-29,2019-06-25,2019-06-25,S4AK00214,2020,f,
"INHOFE, JAMES M. SEN.",S,Senate,REP,REPUBLICAN PARTY,OK,00,0,"{00,00,00,00,00,00}","{1994,1996,2002,2008,2014,2020}","{1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2019-06-26 21:24:11,1994-06-15,2019-06-25,2019-06-25,S4OK00083,2020,f,
"HASSAN, MARGARET WOOD",S,Senate,DEM,DEMOCRATIC PARTY,NH,00,0,"{00,00}","{2016,2022}","{2016,2018,2020}",C,I,Incumbent,2019-01-11 21:04:54,2015-10-05,2018-07-16,2018-07-16,S6NH00091,2022,f,
"HUBBARD, PEGGY",S,Senate,REP,REPUBLICAN PARTY,IL,00,0,{00},{2020},{2020},C,C,Challenger,2019-09-03 21:09:24,2019-02-15,2019-09-03,2019-09-03,S0IL00501,2020,f,
"CUNNINGHAM, CAL",S,Senate,DEM,DEMOCRATIC PARTY,NC,00,0,"{00,00}","{2010,2020}","{2010,2012,2014,2016,2018,2020}",C,C,Challenger,2019-09-05 21:10:56,2009-12-04,2019-09-05,2019-09-05,S0NC00202,2020,f,
"MARKEY, EDWARD J. SEN.",S,Senate,DEM,DEMOCRATIC PARTY,MA,00,0,"{00,00,00}","{1984,2014,2020}","{1984,1986,1988,2014,2016,2018,2020}",C,I,Incumbent,2019-03-27 21:06:35,1984-01-30,2019-03-11,2019-03-11,S4MA00028,2020,f,
"CANTWELL, MARIA",S,Senate,DEM,DEMOCRATIC PARTY,WA,00,0,"{00,00,00,00,00}","{2000,2006,2012,2018,2024}","{2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",F,,,2019-04-01 21:06:00,2000-01-18,2018-11-26,2018-11-26,S8WA00194,2024,f,
