name,cycles,treasurer_name,committee_type,committee_type_full,filing_frequency,designation,designation_full,organization_type,organization_type_full,affiliated_committee_name,party,party_full,state,committee_id,candidate_ids,first_file_date,last_file_date,last_f1_date
"ARMSTRONG COMMITTEE, INC; THE","{1978,1980,1982,1984,1986,1988,1990}","THOMAS E RODRIGUEZ, CPA",S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,CO,C00083543,{S8CO00040},1977-12-13,1990-08-15,1984-09-24
COMMITTEE TO ELECT TERRY SUOMINEN,{2010},GEORGE A WAUER,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,NV,C00468629,{S0NV00161},2009-10-09,2010-11-04,2009-11-27
CHRIS CHAFFEE FOR US SENATE,{2016},AMY CHAFFEE,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,MD,C00610766,{S6MD03557},2016-03-03,2016-05-19,2016-05-11
BRAD CARSON FOR SENATE,"{2004,2006,2008,2010,2012,2014,2016,2018,2020}",JULIE CARSON,S,Senate,A,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,OK,C00391854,{S4OK00133},2003-10-27,2019-02-14,2008-04-15
PARSON FOR SENATE 2010,"{2010,2012}",BILLY PARSON,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,NV,C00461533,{S0NV00146},2009-04-24,2011-01-19,2009-10-02
MCCOY FOR SENATE COMMITTEE,"{1980,1982}",MARGARET M PACUNAS,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,MD,C00122887,{S0MD00077},1980-03-18,1983-12-12,1980-03-18
COMMITTEE TO ELECT THOMAS R POST JR,{1994},KAREN SAMPSON HEINIG,S,Senate,A,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,RI,C00287839,{S4RI00036},1994-01-24,1995-02-24,1994-07-05
WILLIS FOR U.S. SENATE,"{2018,2020}",NORMAN MICHAEL WILLIS,S,Senate,Q,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,MI,C00674556,{S8MI00422},2018-03-27,2019-07-31,2018-03-27
COMMITTEE TO ELECT WILL LUNDQUIST U.S. SENATOR,"{1978,1980}",PAULINE A. FITZGERALD,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,MN,C00102384,{S8MN00297},1978-08-31,1978-12-07,1978-08-31
HONG TRAN FOR SENATE,{2006},MARIA MCCRACKIN,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,WA,C00425801,{S6WA00263},2006-06-15,2006-12-19,2006-06-15
BILL O'BRIEN FOR NEW HAMPSHIRE,{2020},"CORRIGAN, ROBERT DENNIS",S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,NV,C00712091,{S0NH00318},2019-07-12,2019-08-21,2019-08-19
FRIENDS OF STEVE PEARCE,{2008},"JENTGENS, ROBERT",S,Senate,T,A,Authorized by a candidate,,,2008 SEN CLASSIC/GOOD GOVT FUND 2008,REP,REPUBLICAN PARTY,DC,C00444562,{S0NM00041},2008-01-31,2008-12-11,2008-06-30
MCCONNELL SENATE COMMITTEE,"{1984,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}","STEINBERG, LARRY J.",S,Senate,Q,P,Principal campaign committee,,,MCCONNELL FOR MAJORITY LEADER COMMITTEE,REP,REPUBLICAN PARTY,KY,C00193342,{S2KY00012},1984-12-17,2019-08-22,2019-07-12
MCCLAUGHRY CAMPAIGN COMMITTEE,"{1982,1984}",ALICE H MCCLAUGHRY,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,VT,C00155283,{S2VT00029},1982-05-05,1984-03-08,1983-12-07
COMMITTEE TO ELECT GARRY ADKINS US SENATE,"{2000,2002}",GARRY P ADKINS,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,WV,C00353680,{S0WV00074},2000-02-08,2001-06-08,2001-05-24
COMMITTEE TO ELECT TIFFANY WILLIAMS,{2020},"MITCHEL, RYLIE",S,Senate,Q,P,Principal campaign committee,,,NONE,REP,REPUBLICAN PARTY,MA,C00707448,{},2019-05-23,2019-05-23,2019-05-23
COMMITTEE TO ELECT RICHARD A STOKES TO THE U S SENATE,{1986},JAMES A BEAR,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,PA,C00202762,{S6PA00076},1986-02-14,1986-07-15,1986-03-18
JOE SONNEMAN CAMPAIGN/SONNEMAN FOR SENATE COMMITTEE,"{1996,1998,2000,2002}",JOSEPH A SONNEMAN,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,AK,C00321885,{S8AK00033},1996-08-19,2002-01-25,1996-08-19
BEASLEY FOR SENATE,"{2004,2006}",R. W. DEMAURICE,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,SC,C00395103,{S4SC00166},2004-01-23,2006-05-23,2004-04-27
ALI ALI FOR MINNESOTA,"{2018,2020}","ALI,  CHEHEM ALI",S,Senate,Q,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,MN,C00678979,{S8MN00651},2018-05-12,2018-05-12,2018-05-12
ANGELA WILLIAMS FOR US SENATE,{2020},"LEWIS, RICHARD",S,Senate,Q,P,Principal campaign committee,,,NONE,DEM,DEMOCRATIC PARTY,CO,C00711408,{S0CO00559},2019-07-08,2019-07-08,2019-07-08
