name,cycles,treasurer_name,committee_type,committee_type_full,filing_frequency,designation,designation_full,organization_type,organization_type_full,affiliated_committee_name,party,party_full,state,committee_id,candidate_ids,first_file_date,last_file_date,last_f1_date
HOUSTON GORDON FOR SENATE (FRIENDS OF HOUSTON GORDON),"{1996,1998,2000,2002}",CHARLES W BONE,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,TN,C00317701,{S6TN00158},1996-05-02,2001-03-30,1996-05-02
STARKY FOR SENATE 04,{2004},VICTOR J TARDINO JR,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,AZ,C00402578,{S0AZ00152},2004-06-23,2004-12-28,2004-07-26
HORNING FOR SENATE COMMITTEE,{2018},"GARDNER, ROBERT",S,Senate,T,P,Principal campaign committee,,,NONE,REP,REPUBLICAN PARTY,IN,C00664631,{S2IN00109},2018-01-02,2018-07-06,2018-01-02
MARY JO WALTERS FOR US SENATE,{2018},MARY JO WALTERS,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,WI,C00652115,{S8WI00208},2017-07-31,2018-12-06,2017-12-18
WINTER FOR SENATE COMMITTEE,"{1984,1986}",JAMES C RHODEN,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,MS,C00179101,{S4MS00013},1984-03-12,1986-01-10,1984-10-10
FULLER FOR US SENATE,"{2018,2020}",MICHAEL GIBSON,S,Senate,Q,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,FL,C00666172,{S8FL00257},2018-01-08,2018-02-08,2018-01-08
ALLWEDOISWIN,"{2018,2020}","NA, NA",S,Senate,Q,P,Principal campaign committee,,,NONE,DEM,DEMOCRATIC PARTY,IN,C00690636,{},2018-10-27,2018-11-27,2018-10-27
BOOZMAN FOR ARKANSAS,"{2010,2012,2014,2016,2018,2020}",RICK J TANNEBERGER,S,Senate,Q,P,Principal campaign committee,,,BOOZMAN VICTORY 2016,REP,REPUBLICAN PARTY,AR,C00476317,{S0AR00150},2010-02-11,2019-07-15,2016-04-15
HOLLAND FOR SENATE COMMITTEE,{2018},JOSEPH H HOLLAND,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,NY,C00667261,{S8NY00207},2018-01-24,2018-04-26,2018-01-24
BRENNAN FOR SENATE 2018,"{2018,2020}","BRENNNAN, OZY",S,Senate,Q,P,Principal campaign committee,,,NONE,DEM,DEMOCRATIC PARTY,CA,C00661967,{S8CA00424},2017-11-29,2017-11-29,2017-11-29
TOM BRUGGERE FOR US SENATE,"{1996,1998,2000}",ROBERT D VAN BROCKLIN,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,OR,C00312827,{S6OR00300},1996-02-03,2000-08-04,1996-06-24
METCALF FOR U S SENATE,"{1996,1998,2000}",JOHN N CRAFT,S,Senate,T,A,Authorized by a candidate,,,,REP,REPUBLICAN PARTY,KY,C00301705,{S6KY00021},1995-03-21,1999-02-19,1995-03-21
COMMITTEE TO ELECT LELA PITTENGER FOR UNITED STATES SENATE,"{2010,2012}",LELA MAE PITTENGER,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,TX,C00473793,{S0TX00217},2010-01-12,2012-08-24,2010-04-20
WILEY FOR SENATE,"{2010,2012}",JEANINE L VALDEZ,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,NV,C00466284,{S0NV00229},2009-08-26,2011-01-07,2009-11-02
RUN SHARRON ANGLE,"{2016,2018}",ROBERT TESE,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,NV,C00613943,{S0NV00138},2016-03-31,2018-01-05,2016-07-12
FAIRCLOTH FOR US SENATE,"{1996,1998,2000,2002}",BERNARD ANGST,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,ME,C00313833,{S6ME00167},1996-02-26,2001-02-16,1996-04-03
RON MCNEIL FOR US SENATE,"{2012,2014,2016}",KATHRYN M JONES,S,Senate,A,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,FL,C00501536,{S2FL00318},2011-08-26,2015-11-10,2011-08-26
PATTY MURRAY CAMPAIGN,"{1992,1994}",DONN CHARNLEY,S,Senate,T,A,Authorized by a candidate,,,,DEM,DEMOCRATIC PARTY,WA,C00260760,{S2WA00189},1992-02-18,1993-02-05,1993-02-05
FRIENDS OF DR ANN-MARIE ADAMS FOR US SENATE,{2018},"AKPO, JAMES SELASE",S,Senate,T,P,Principal campaign committee,,,NONE,DEM,DEMOCRATIC PARTY,CT,C00654137,{S8CT00105},2017-08-25,2018-06-19,2017-08-25
COMMITTEE TO ELECT DARRYL GLENN,"{2016,2018}",JAMES SIMMONS,S,Senate,T,P,Principal campaign committee,,,GLEN VICTORY FUND,REP,REPUBLICAN PARTY,CO,C00572594,{S6CO00226},2015-01-23,2018-04-26,2016-10-05
ROBERT BLAHA FOR COLORADO,"{2016,2018}",JERRY HIDERBRAND,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,CO,C00605428,{S6CO00275},2016-01-14,2018-06-28,2018-06-12
CURDY FOR U S SENATE,"{1984,1986,1988,1990,1992,1994,1996}",CHARLES E RAGLAND,S,Senate,A,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,WA,C00170522,{S4WA00045},1983-09-29,1993-08-09,1993-08-09
BARBARA SHEEN TODD FOR US SENATE,"{2004,2006}",MARYANN BOBULINSKI,S,Senate,A,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,FL,C00392845,{S4FL00280},2003-11-20,2005-12-12,2003-11-20
CITIZENS FOR PHILLIP A BROWN U S SENATE (REPUBLICAN),{1984},PHILLIP A BROWN,S,Senate,A,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,MI,C00174284,{S4MI00033},1983-12-28,1983-12-28,1983-12-28
A.C. GRIGSON SENATE CAMPAIGN,"{1978,1980,1982}",O. G. MONK,S,Senate,A,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,AR,C00090407,{S8AR00054},1978-03-27,1981-12-03,1978-03-27
GOVIND'S SENATORIAL ELECTION COMMITTEE,"{2004,2006}",GOVIND N PATEL,S,Senate,A,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,GA,C00399964,{S4GA11129},2004-04-15,2006-02-01,2004-04-15
STITES FOR US SENATE,{1982},JAMES R HAYDEN,S,Senate,A,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,WA,C00159269,{S2WA00064},1982-07-19,1982-07-19,1982-07-19
CROW4SENATE,{2020},"GUAN, WEI",S,Senate,Q,P,Principal campaign committee,,,NONE,DEM,DEMOCRATIC PARTY,KS,C00712901,{},2019-07-18,2019-07-18,2019-07-18
FRIENDS OF DWIGHT GROTBERG,"{2006,2008}",ALISON GROTBERG,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,ND,C00425116,{S6ND00074},2006-05-27,2007-04-17,2006-07-12
FRIENDS OF BOB GRAHAM COMMITTEE,"{1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006}",ROBIN GIBSON,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,FL,C00196527,{S6FL00020},1985-07-15,2005-04-26,1998-03-10
BEHNEY FOR US SENATE,{2010},WALTER J BROWN,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,IN,C00466565,{S0IN00103},2009-09-03,2010-09-23,2009-09-03
ARTURO PACHECO REYES FOR US SENATE 2012,{2012},SHEILA C REYES,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,HI,C00522615,{S0HI00118},2012-06-05,2014-10-08,2012-11-21
WRITE-IN-RILEY DOT COM,"{2018,2020}",JAMES N RILEY JR,S,Senate,Q,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,ME,C00689653,{S8ME00171},2018-10-11,2019-07-16,2018-10-11
MIKE LOWRY FOR U S SENATE COMMITTEE,"{1988,1990,1992}",MARY LOWRY,S,Senate,T,A,Authorized by a candidate,,,,DEM,DEMOCRATIC PARTY,WA,C00219576,{S4WA00037},1987-12-03,1991-08-30,1988-10-31
COMMITTEE TO ELECT GRETHE PETERSON TO THE U S SENATE,{1994},GARY HUGHES,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,UT,C00285999,{S4UT00035},1993-12-03,1994-09-30,1993-12-03
J. D. LEE FOR U.S. SENATE,"{1978,1980}",W. HOLT SMITH,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,TN,C00097501,{S8TN00113},1978-06-09,1979-12-20,1978-07-19
ANNETTE BOSWORTH MD FOR US SENATE,"{2014,2016,2018,2020}",NANCY H WATKINS,S,Senate,Q,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,FL,C00547539,{S4SD00064},2013-07-24,2019-07-05,2013-08-30
VOTE GROVER CLEVELAND FOR SENATOR,"{2012,2014,2016,2018}",GROVER MULLINS JR,S,Senate,A,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,TN,C00508838,{S2TN00249},2012-01-04,2018-04-26,2012-01-04
EDWARD KIMBROUGH FOR US SENATE COMMITTEE-TEXAS,"{2018,2020}",EDWARD WAYNE KIMBROUGH,S,Senate,Q,P,Principal campaign committee,,,NONE,DEM,DEMOCRATIC PARTY,TX,C00667477,{S8TX00376},2018-01-17,2018-07-19,2018-01-17
RE-ELECT SENATOR ORRIN G HATCH CLUB,"{1982,1984}",ELLIS EDWARD CRAIG,S,Senate,T,A,Authorized by a candidate,,,,REP,REPUBLICAN PARTY,UT,C00152959,{S6UT00063},1982-03-31,1984-01-30,1982-03-31
ETHAN BOOK FOR US SENATE,"{2010,2012,2014,2016,2018}",PAULA GONZALEZ,S,Senate,A,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,CT,C00482273,{S0CT00201},2010-04-29,2018-04-26,2014-12-10
NETHERCUTT FOR SENATE,"{2004,2006,2008}",CATHERINE ANN GERNES,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,MD,C00389239,{S4WA00458},2003-08-06,2007-02-27,2005-04-15
GLENN ADDISON SENATE CAMPAIGN,{2012},JOHN LAWRENCE LYNCH,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,TX,C00493346,{S2TX00320},2011-02-15,2012-08-07,2011-04-05
EDDIE 4-TRUMP HAMILTON- US SENATE 2016,"{2006,2008,2010,2012,2016}",EDWARD HAMILTON,S,Senate,A,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,NV,C00420679,{S6NV00168},2006-03-03,2015-09-29,2015-09-29
SMITH FOR SENATE COMMITTEE,"{1984,1986}",BEN J SCHILLACI,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,AL,C00174730,{S4AL00042},1984-01-05,1986-04-25,1984-01-05
RICHARD A PETTIGREW SENATE CAMPAIGN COMMITTEE,"{1980,1982}",R H SIMONET,S,Senate,A,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,FL,C00117135,{S0FL00031},1979-12-10,1982-02-22,1979-12-10
BOB HUGIN FOR SENATE INC,"{2018,2020}","GILROY, AMBERLE",S,Senate,T,P,Principal campaign committee,,,THE FOUNDERS COMMITTEE,REP,REPUBLICAN PARTY,NJ,C00671305,{S8NJ00509},2018-02-21,2019-08-27,2018-12-14
FRIENDS OF ORRIN HATCH COMMITTEE INC,"{1994,1996,1998}",CHUCK CANFIELD,S,Senate,T,A,Authorized by a candidate,,,,REP,REPUBLICAN PARTY,UT,C00286567,{S6UT00063},1993-12-20,1999-01-08,1993-12-20
FRIENDS OF PAUL HOLLIS LLC,"{2014,2016,2018,2020}",PAUL HOLLIS,S,Senate,Q,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,LA,C00553636,{S4LA00131},2013-12-16,2019-07-08,2014-10-07
BOBBY MAHENDRA FOR SENATE,"{2016,2018,2020}","MR SUJEET ""BOBBY"" NARENDRA MAHENDRA",S,Senate,Q,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,NV,C00608240,{S6NV00234},2016-01-29,2019-07-31,2016-03-09
MCFADDEN FOR SENATE,"{2014,2016}",KATE LIND,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,MN,C00545921,{S4MN00346},2013-06-13,2016-10-25,2015-04-15
HAWKINS FOR US SENATE,"{2018,2020}",MATT HAWKINS,S,Senate,Q,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,WA,C00682856,{S8WA00293},2018-07-05,2018-07-05,2018-07-05
PETER DEUTSCH FOR SENATE,"{1992,1994,1996,1998,2000,2002,2004,2006,2008}","Deutsch, Lori",S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,FL,C00267708,"{H2FL16041,S4FL00207}",1992-05-12,2008-01-31,2007-01-09
BOB OLSON FOR U S SENATE,"{2008,2010}",LEE CONNERTON,S,Senate,A,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,MN,C00436790,{S0MN00054},2007-04-17,2010-01-22,2007-04-17
REGINALD LUSTER FOR US SENATE,"{2016,2018}",MAMIE L DAVIS,S,Senate,A,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,FL,C00620526,{S6FL00491},2016-06-16,2018-04-26,2016-06-16
TED CRUZ FOR SENATE,"{2012,2014,2016,2018,2020}","KNIPPA, BRADLEY SCOTT",S,Senate,Q,P,Principal campaign committee,,,2018 SENATORS CLASSIC COMMITTEE,REP,REPUBLICAN PARTY,TX,C00492785,{S2TX00312},2011-01-28,2019-08-23,2018-10-15
HORAN FOR SENATE COMMITTEE,{1982},PATRICIA CRANDALL,S,Senate,A,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,VA,C00157719,{S2VA00084},1982-06-14,1982-06-14,1982-06-14
SPENCER FOR U S SENATE,"{1996,1998}",CE'CILE COLLIN FONTAINE,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,ME,C00313270,{S6ME00134},1996-02-20,1997-05-01,1996-06-14
TUTORA FOR SENATE,{2018},NICHOLAS TUTORA,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,AZ,C00655209,{S8AZ00163},2017-09-06,2018-07-31,2017-09-06
CITIZENS TO ELECT JIM EAGAN UNITED STATE SENATOR,"{1980,1982,1984,1986,1988,1990,1992,1994,1996}",FRANK QUINN,S,Senate,A,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,NY,C00113068,{S0NY00030},1979-09-04,1996-05-15,1979-09-04
COMMITTEE TO ELECT MARKHAM H. LYONS U.S. SENATOR,"{1978,1980,1982,1984,1986}",URSULA P LYONS,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,MA,C00088930,{S8MA00011},1978-03-09,1985-01-08,1984-01-30
RICHARD EUGENE ULBRICHT FOR US SENATE,"{1980,1982}",GLENN C ULBRICHT,S,Senate,A,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,FL,C00117366,{S0FL00056},1979-12-13,1979-12-13,1979-12-13
TOWNSEND FOR SENATE,"{2010,2012,2014,2016,2018,2020}",NANCY H WATKINS,S,Senate,Q,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,FL,C00482216,{S0NY00550},2010-04-23,2019-07-05,2011-05-06
A WHOLE LOT OF IDAHOANS FOR MATT SCHAFFER,{1992},DONNA B PARRISH,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,ID,C00259648,{S2ID00046},1992-01-30,1992-07-20,1992-01-30
COMMITTEE TO ELECT EDWARD VARGA,{2010},PAIGE SOULE,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,IL,C00465955,{S0IL00295},2009-08-17,2010-01-06,2009-08-17
CMTE FOR THE ELECTION OF BOB ROBINSON,"{1978,1980}",ROBERT L ROBINSON,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,MS,C00089664,{S8MS00022},1978-03-17,1980-04-08,1980-04-08
FRIENDS TO ELECT MELISSA ACKISON,{2018},DANIELLE SPENCER,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,OH,C00656512,{S8OH00094},2017-09-22,2018-06-11,2017-09-22
MURIEL WAYNE ABLES FOR SENATE,"{2014,2016}",MURIEL WAYNE ABLES,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,LA,C00568790,{S4LA00156},2014-09-12,2015-02-03,2014-09-12
LON MABON FOR US SENATE,"{1996,1998,2000,2002}",BONNIE J MABON,S,Senate,T,A,Authorized by a candidate,,,,REP,REPUBLICAN PARTY,OR,C00315218,{S6OR00326},1996-03-14,2001-03-30,1996-03-14
WARGOTZ FOR US SENATE,"{2010,2012,2014}",CHERYL-ANN WARGOTZ,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,MD,C00463711,{S0MD00259},2009-07-08,2013-03-18,2013-01-30
BLAKEMAN 2010 INC,"{2010,2012}",ALAN KAPPEL,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,NY,C00474510,{S0NY00477},2010-01-27,2012-09-04,2010-09-03
GEORGIANS FOR TED TERRY,{2020},"DERBY, KENDRA-SUE DERBY",S,Senate,Q,P,Principal campaign committee,,,NONE,DEM,DEMOCRATIC PARTY,GA,C00711804,{},2019-07-10,2019-07-10,2019-07-10
AMEDORI FOR U S SENATE,{2010},JOANNE ARMSTRONG,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,MD,C00477034,{S0MD00283},2010-02-25,2010-05-27,2010-02-25
JIM CHAPMAN FOR SENATE,"{1996,1998,2000}",WILLIAM K MOORE,S,Senate,A,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,MD,C00307157,{S6TX00123},1995-10-12,2000-07-21,1995-10-12
SHEILA OLIVER FOR US SENATE,"{2014,2016}",JENNIE OLIVER,S,Senate,A,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,NJ,C00547091,{S4NJ00227},2013-07-15,2016-10-19,2013-07-15
CITIZENS FOR MCNULTY FOR SENATE,"{1980,1982}",MIKE MARUSICH,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,AZ,C00108746,{S0AZ00020},1979-03-29,1981-12-02,1979-03-29
SNUFFER US SENATE,"{2006,2008}",ERIC LYLE SNUFFER,S,Senate,A,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,WV,C00418574,{S6WV00089},2006-01-05,2007-10-19,2006-01-05
CRISTINA FOR TEXAS,{2020},"SEPULVEDA, EUGENE",S,Senate,Q,P,Principal campaign committee,,,NONE,DEM,DEMOCRATIC PARTY,TX,C00715409,{S8TX00459},2019-08-12,2019-08-12,2019-08-12
MONROE CORNISH (PCC),{1986},MONROE CORNISH,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,MD,C00211052,{S2MD00149},1986-09-17,1986-09-17,1986-09-17
DONNA GLISMAN FOR US SENATE,"{2012,2014,2016}",DAVID R KNIFFEN,S,Senate,A,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,OH,C00499285,{S2OH00196},2011-07-19,2015-11-10,2011-07-19
NELS MITCHELL FOR IDAHO,"{2014,2016}",SUSAN EASTLAKE,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,ID,C00555409,{S4ID00075},2014-01-24,2016-04-14,2014-01-24
FRIENDS OF ZISER,"{2004,2006}",KELLY LAWLER,S,Senate,T,A,Authorized by a candidate,,,NONE,REP,REPUBLICAN PARTY,CA,C00398370,{S4NV00130},2004-03-29,2005-02-08,2004-12-01
COSSA FOR SENATE,"{1980,1982,1984}",MAUREEN P MCCLOREY,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,MI,C00109850,{S2MI00011},1979-05-17,1985-01-31,1983-07-29
COMMITTEE TO ELECT BENNIE J. SMITH U.S. SENATOR,{2020},"ANDERSON, MICHAEL W",S,Senate,Q,P,Principal campaign committee,,,NONE,DEM,DEMOCRATIC PARTY,KY,C00713131,{S0KY00354},2019-07-20,2019-07-20,2019-07-20
RUPPE FOR SENATE COMMITTEE,"{1980,1982,1984,1986}",CHESTER J RHEAULT,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,MI,C00142406,{S2MI00029},1981-06-01,1985-07-12,1982-11-19
PAUL JENSEN FOR U S SENATE (96),{1996},P JENSEN,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,MI,C00302869,{S0MI00023},1995-05-11,1996-07-02,1995-05-11
CAMPAIGN TO ELECT MIKE PROTACK,"{2006,2008}",MARY ANN PROTACK,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,DE,C00412775,{S6DE00115},2005-07-05,2008-12-17,2005-07-05
JAMES FINKELSTEIN FOR U S SENATE COMMITTEE,"{2004,2006}",GLENN ALAN ZUERN,S,Senate,A,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,GA,C00400804,{S4GA11145},2004-05-06,2006-07-31,2004-06-29
SPIRO FOR SENATE,"{1992,1994}",CAMELLIA BELCHER,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,TX,C00258533,"{H2TX10030,S4TX00193}",1992-01-16,1994-10-14,1993-03-24
LAUTENBERG 2000 COMMITTEE,"{1994,1996,1998,2000,2002}",FRANK R LAUTENBERG,S,Senate,T,A,Authorized by a candidate,,,,DEM,DEMOCRATIC PARTY,NJ,C00302273,{S2NJ00080},1995-04-11,2002-05-30,2002-05-30
PURGASON FOR US SENATE,{2010},JANET PURGASON,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,MO,C00465948,{S0MO00191},2009-08-25,2010-11-04,2009-08-25
DANNEMEYER FOR SENATE '94,{1994},JOHN C POORTINGA,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,CA,C00289942,{S2CA00328},1994-02-28,1995-05-02,1994-02-28
MILLER 2006,"{2006,2008}",MEGAN BEYER,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,VA,C00418665,{S6VA00119},2006-01-12,2007-04-11,2006-01-12
"GADE FOR VIRGINIA, INC.",{2020},"WOODFIN, CHRISTOPHER MONTGOMERY MR.",S,Senate,Q,P,Principal campaign committee,,,NONE,REP,REPUBLICAN PARTY,VA,C00716571,{S0VA00146},2019-08-21,2019-08-21,2019-08-21
CHRIS BELL FOR SENATE,{2020},"JAWORSKI, JOSEPH SULLIVAN",S,Senate,Q,P,Principal campaign committee,,,NONE,DEM,DEMOCRATIC PARTY,TX,C00710871,{},2019-07-02,2019-07-02,2019-07-02
WE THE PEOPLE FOR POSKEVICH,"{2012,2014}",ANTHONY WAYNE MILLER,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,TN,C00497883,{S2TN00215},2011-06-16,2013-04-25,2011-06-16
BESHEAR FOR US SENATE COMMITTEE,"{1996,1998,2000}",CHARLES L STIVERS CPA,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,KY,C00309575,{S6KY00047},1995-12-14,2000-12-08,1996-02-26
GLENN FLOYD FOR U.S. SENATE,"{1978,1980}",KENNETH E. REYNOLDS,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,OK,C00093203,{S8OK00068},1978-04-21,1979-12-03,1978-05-24
FRIENDS FOR JIM DINGEMAN,{1990},ARNOLD KRIEGER CPA,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,MI,C00235895,{S0MI00049},1989-03-03,1989-12-08,1989-03-03
TOM FOLEY FOR SENATE INC,{2010},LARRY J LAWRENCE,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,CT,C00462994,{S0CT00136},2009-06-12,2010-09-16,2009-06-12
SIMON FOR SENATE,"{1984,1986,1988,1990,1992,1994,1996,1998}",EDWARD T JOYCE,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,IL,C00168807,{S4IL00040},1983-07-20,1997-09-22,1995-02-03
FRIENDS OF CONSUELO ANDERSON,{2018},CONSUELO ELIZABETH ANDERSON,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,HI,C00681551,{S8HI00194},2018-06-14,2018-10-12,2018-06-14
FRIENDS OF MATTINGLY,"{1980,1982,1984,1986,1988}",MR DONALD P GAMMON,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,GA,C00114033,{S0GA00021},1979-10-01,1988-06-30,1985-05-08
FRIENDS OF ROGER JEPSEN,"{1978,1980}",JOHN HENSS,S,Senate,T,A,Authorized by a candidate,,,,REP,REPUBLICAN PARTY,IA,C00091108,{S8IA00039},1978-03-29,1981-06-09,1978-08-08
ASKEW FOR SENATE,{1998},LEONARD P BETZ,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,MO,C00338939,{S6MO00230},1998-07-27,1998-08-20,1998-07-27
FRIENDS OF PETE COORS,{2004},Mark Martinez,S,Senate,T,A,Authorized by a candidate,,,NONE,REP,REPUBLICAN PARTY,CO,C00398388,{S4CO00189},2004-03-29,2004-12-01,2004-09-09
CAMPBELL VICTORY FUND,"{1986,1988,1990,1992,1994,1996,1998,2000,2002,2004}",DR THOMAS READY,S,Senate,T,A,Authorized by a candidate,,,,DEM,DEMOCRATIC PARTY,CO,C00204966,"{H6CO03097,S0CO00120}",1986-04-09,2003-06-25,2002-06-04
ELIZABETH AMES JONES FOR TEXAS INC,"{2008,2010,2012}",JAMES L HAYNE,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,TX,C00457028,{S2TX00262},2008-11-03,2012-08-07,2011-10-06
ANDREW TAKAMI FOR US SENATE,"{2018,2020}",RONALD F BARNES CPA/PFS,S,Senate,Q,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,IN,C00638692,{S8IN00148},2017-04-26,2019-07-31,2017-04-26
HEIDI FOR SENATE,"{2012,2014,2016,2018,2020}","HAAK, JESSICA",S,Senate,Q,P,Principal campaign committee,,,NONE,DEM,DEMOCRATIC PARTY,DC,C00505552,{S2ND00099},2011-11-08,2019-07-15,2019-07-15
WILKERSON FOR SENATE 2004,"{2004,2006,2008}",JEFFREY L SPRAY,S,Senate,A,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,TX,C00393330,{S4IN00097},2003-12-08,2007-07-03,2007-02-01
CHARLES SULLIVAN FOR SENATOR COMMITTEE,"{1978,1980}",CHARLES LESTER SULLIVAN,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,MS,C00093849,{S8MS00089},1978-04-28,1980-03-31,1978-04-28
HATCH ASSOCIATES,"{1978,1980,1982,1984}",STANLEY DE WAAL,S,Senate,T,A,Authorized by a candidate,,,,REP,REPUBLICAN PARTY,UT,C00104760,{S6UT00063},1978-10-10,1984-10-05,1984-09-04
JOHN MELENDEZ FOR SENATE,"{2018,2020}",ROYCE D'ORAZIO,S,Senate,Q,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,CA,C00632190,{S8CA00309},2017-02-01,2017-02-01,2017-02-01
FRIENDS OF BRE KIDMAN,{2020},"KIDMAN, BRE MX.",S,Senate,Q,P,Principal campaign committee,,,NONE,DEM,DEMOCRATIC PARTY,ME,C00703413,{S0ME00087},2019-04-20,2019-07-15,2019-04-20
